Solver Configuration,LTL,Instance,Result Code,Wall Time
MapleCOMSPS,persistence,adding.2_recurrence_0.smv_k600.dimacs,UNSAT,6508.65
BSaLTic-DHf,persistence,adding.2_recurrence_0.smv_k80.dimacs,UNSAT,70.6
BSaLTic-EHf,persistence,adding.2_recurrence_0.smv_k80.dimacs,UNSAT,237.44
Kissat,persistence,adding.2_recurrence_0.smv_k80.dimacs,UNSAT,54.2719
MapleCOMSPS,persistence,adding.2_recurrence_0.smv_k80.dimacs,UNSAT,110.89
BSaLTic-DHf,persistence,adding.2_recurrence_0.smv_k800.dimacs,UNSAT,6188.7
BSaLTic-EHf,persistence,adding.2_recurrence_0.smv_k800.dimacs,wall clock limit exceeded,7200.0
Kissat,persistence,adding.2_recurrence_0.smv_k800.dimacs,wall clock limit exceeded,7200.0
MapleCOMSPS,persistence,adding.2_recurrence_0.smv_k800.dimacs,wall clock limit exceeded,7200.0
BSaLTic-EHf,guarantee,adding.2_safety_0.smv_k200.dimacs,SAT,158.07
BSaLTic-DHf,guarantee,adding.2_safety_0.smv_k200.dimacs,SAT,110.73
Kissat,guarantee,adding.2_safety_0.smv_k200.dimacs,SAT,76.509
MapleCOMSPS,guarantee,adding.2_safety_0.smv_k200.dimacs,SAT,113.27
BSaLTic-EHf,guarantee,adding.2_safety_0.smv_k2000.dimacs,UNSAT,5186.3
BSaLTic-DHf,guarantee,adding.2_safety_0.smv_k2000.dimacs,wall clock limit exceeded,7200.0
Kissat,guarantee,adding.2_safety_0.smv_k2000.dimacs,UNSAT,4119.8
MapleCOMSPS,guarantee,adding.2_safety_0.smv_k2000.dimacs,UNSAT,3498.63
BSaLTic-EHf,guarantee,adding.2_safety_0.smv_k400.dimacs,SAT,1837.63
BSaLTic-DHf,guarantee,adding.2_safety_0.smv_k400.dimacs,SAT,2605.77
Kissat,guarantee,adding.2_safety_0.smv_k400.dimacs,SAT,656.898
MapleCOMSPS,guarantee,adding.2_safety_0.smv_k400.dimacs,SAT,1694.23
BSaLTic-DHf,safety,adding.3_k100.dimacs,UNSAT,2764.41
BSaLTic-EHf,safety,adding.3_k100.dimacs,UNSAT,1958.35
Kissat,safety,adding.3_k100.dimacs,UNSAT,306.28
MapleCOMSPS,safety,adding.3_k100.dimacs,UNSAT,3010.02
